Wall time,Step,Value
1731868965.8163083,1,0.975307285785675
1731868966.3874767,2,0.7150200605392456
1731868967.071243,3,0.6181336045265198
1731868967.5087597,4,0.4930729269981384
1731868967.936995,5,0.4949705898761749
1731868968.4804947,6,0.39813879132270813
1731868968.967414,7,0.4079616963863373
1731868969.4199677,8,0.40339943766593933
1731868969.8985684,9,0.3495110869407654
1731868970.3660579,10,0.3647395670413971
1731868970.7928264,11,0.33245551586151123
1731868971.299395,12,0.3530935049057007
1731868971.733114,13,0.31057626008987427
1731868972.160729,14,0.35237959027290344
1731868972.5900242,15,0.18241174519062042
1731868973.0124593,16,0.2972070872783661
1731868973.4340987,17,0.3027791678905487
1731868973.881794,18,0.2103472650051117
1731868974.382646,19,0.25773927569389343
1731868974.8134167,20,0.28131282329559326
1731868975.2350755,21,0.24783937633037567
1731868975.6792047,22,0.24056066572666168
1731868976.1037588,23,0.20014694333076477
1731868976.52674,24,0.1835598200559616
1731868976.9433355,25,0.15836307406425476
1731868977.3660169,26,0.17956504225730896
1731868977.7932098,27,0.18227148056030273
1731868978.2224917,28,0.15049958229064941
1731868978.6452935,29,0.16032862663269043
1731868979.0613463,30,0.11172923445701599
1731868979.4874668,31,0.1010320708155632
1731868979.9132984,32,0.12071806937456131
1731868980.338107,33,0.12955771386623383
1731868980.7636786,34,0.0957534909248352
1731868981.1834633,35,0.10032564401626587
1731868981.6092148,36,0.09013760834932327
1731868982.0382278,37,0.08361855149269104
1731868982.4858034,38,0.09813302755355835
1731868982.939129,39,0.06737717241048813
1731868983.39528,40,0.07210385054349899
1731868983.8554606,41,0.09290534257888794
1731868984.3178532,42,0.043813128024339676
1731868984.7764132,43,0.06290195137262344
1731868985.2431557,44,0.07185856252908707
1731868985.6906598,45,0.05244108662009239
1731868986.1528058,46,0.05132012441754341
1731868986.6839561,47,0.05953559651970863
1731868987.1363215,48,0.03529911860823631
1731868987.5863125,49,0.042263127863407135
1731868988.0326154,50,0.07381362468004227
1731868988.4920948,51,0.023274455219507217
1731868988.9825332,52,0.030380891636013985
1731868989.463075,53,0.02066635526716709
1731868989.9285989,54,0.025114793330430984
1731868990.3934188,55,0.030195126309990883
1731868990.8141139,56,0.02451203390955925
1731868991.2374814,57,0.04698926955461502
1731868991.6601846,58,0.0105495136231184
1731868992.0739048,59,0.017453107982873917
1731868992.5778115,60,0.025530198588967323
1731868992.9889457,61,0.0020960725378245115
1731868993.4667594,62,0.03297484293580055
1731868993.886408,63,0.011538418009877205
1731868994.3109202,64,0.02657410316169262
1731868994.727128,65,0.0264787208288908
1731868995.1419222,66,0.011814326979219913
1731868995.5609684,67,0.0011542270658537745
1731868995.9761944,68,0.015189814381301403
1731868996.4002588,69,0.011678257025778294
1731868996.8100426,70,0.0014524367870762944
1731868997.2273402,71,0.0003279244410805404
1731868997.7162297,72,0.0008407306740991771
1731868998.6553085,73,0.0034036939032375813
1731869001.2678828,74,0.005303744692355394
1731869005.0530632,75,0.014903911389410496
1731869007.769558,76,0.001341861905530095
1731869011.1199007,77,0.018165752291679382
1731869011.5566916,78,0.013246268033981323
1731869011.9753816,79,0.0014661501627415419
1731869012.3936448,80,0.0006074198754504323
1731869012.8074257,81,0.0004432521527633071
1731869013.269199,82,0.0002427478029858321
1731869013.7327976,83,0.0001695194951025769
1731869014.1524842,84,0.00030963958124630153
1731869014.5693932,85,0.00021311629097908735
1731869014.9806335,86,0.00019622902618721128
1731869015.3986998,87,0.00016980987857095897
1731869015.8109274,88,0.00019798301218543202
1731869016.234327,89,0.0002057766541838646
1731869016.6492999,90,0.00011048516171285883
1731869017.1430728,91,8.423027611570433e-05
1731869019.5642402,92,0.0001337397552561015
1731869024.398403,93,9.896523260977119e-05
1731869029.4372098,94,7.773649122100323e-05
1731869032.6705697,95,7.667154568480328e-05
1731869035.9228742,96,0.0001748549402691424
1731869038.7203789,97,8.711546252015978e-05
1731869039.2428274,98,7.240212289616466e-05
1731869039.7930362,99,0.00012331566540524364
1731869040.3894742,100,8.043687557801604e-05
1731869040.9311533,101,7.922109944047406e-05
1731869041.4530597,102,5.5392749345628545e-05
1731869041.8914757,103,0.00010541665687924251
1731869042.4085565,104,5.166489427210763e-05
1731869042.9231668,105,0.00010196358198300004
1731869043.3750856,106,8.981946302810684e-05
1731869043.8957708,107,7.320669101318344e-05
1731869044.4490201,108,3.752894917852245e-05
1731869044.9798188,109,4.120865560253151e-05
1731869045.4723628,110,7.720661960775033e-05
1731869046.010596,111,8.629175863461569e-05
1731869046.5297227,112,4.228537727613002e-05
1731869046.969476,113,6.789420149289072e-05
1731869047.5360878,114,6.804861914133653e-05
1731869048.4286432,115,3.337358793942258e-05
1731869048.8807907,116,6.977809243835509e-05
1731869049.3348014,117,4.669586633099243e-05
1731869049.8443217,118,2.7158625016454607e-05
1731869052.9842598,119,6.259301881073043e-05
1731869055.3932655,120,4.934419848723337e-05
1731869055.9066362,121,3.8581343687837943e-05
1731869058.3796322,122,3.492004907457158e-05
1731869058.863391,123,5.050446998211555e-05
1731869059.3128211,124,4.780961899086833e-05
1731869061.9642262,125,3.673101309686899e-05
1731869064.762792,126,5.1364637329243124e-05
1731869065.2435403,127,5.019472155254334e-05
1731869068.4946897,128,2.2037695089238696e-05
1731869068.9962795,129,3.2405456295236945e-05
1731869072.1904254,130,4.250053461873904e-05
1731869072.7732038,131,2.8544558517751284e-05
1731869076.4065745,132,3.3167205401696265e-05
1731869076.883327,133,2.792254053929355e-05
1731869081.52071,134,1.3780098925053608e-05
1731869081.9555652,135,2.1463616576511413e-05
1731869084.6965013,136,1.1156090295116883e-05
1731869085.130077,137,1.0123285392182879e-05
1731869087.6702898,138,3.4754233638523147e-05
1731869088.226913,139,2.6417877961648628e-05
1731869088.6573882,140,2.7442467398941517e-05
1731869089.1246364,141,1.711136064841412e-05
1731869089.6631372,142,1.845926817622967e-05
1731869090.1508968,143,3.533384369802661e-05
1731869090.6630676,144,3.0910978239262477e-05
1731869091.108244,145,2.710460830712691e-05
1731869091.6193352,146,2.466090882080607e-05
1731869092.0444114,147,2.12021386687411e-05
1731869092.4544313,148,2.476339795975946e-05
1731869092.9361262,149,1.3811410099151544e-05
1731869093.3488142,150,2.6077233997057192e-05
1731869093.8353643,151,7.448501037288224e-06
1731869094.3259084,152,2.4596038201707415e-05
1731869094.760772,153,2.4590011889813468e-05
1731869095.1770847,154,1.536845047667157e-05
1731869095.5870671,155,1.7505601135781035e-05
1731869096.0741801,156,1.472079566156026e-05
1731869096.4841654,157,1.7760219634510577e-05
1731869096.9059422,158,1.8996295693796128e-05
1731869097.3257651,159,1.559442353027407e-05
1731869097.739334,160,1.4322554307000246e-05
1731869098.1637423,161,8.53830533742439e-06
1731869098.6475623,162,1.0634019417921081e-05
1731869099.1455867,163,1.932071245391853e-05
1731869099.5712006,164,1.0571872735454235e-05
1731869099.9906516,165,1.7047561414074153e-05
1731869100.4154606,166,1.6955793398665264e-05
1731869100.917647,167,7.77726381784305e-06
1731869101.3348715,168,5.916412192163989e-06
1731869101.7556438,169,1.5620553313056007e-05
1731869102.1756883,170,9.336687980976421e-06
1731869102.6653278,171,1.2321610483922996e-05
1731869103.0793462,172,1.145494115917245e-05
1731869103.4937372,173,1.3349084838409908e-05
1731869103.9800751,174,1.271539895242313e-05
1731869104.4908838,175,1.1268103662587237e-05
1731869104.9169931,176,1.03165393738891e-05
1731869105.3384993,177,1.10346745714196e-05
1731869105.7476435,178,6.617800409003394e-06
1731869106.2406967,179,9.61189107329119e-06
1731869106.6524806,180,4.974418516212609e-06
1731869107.0747905,181,1.2728519322990905e-05
1731869107.4800553,182,1.0184607162955217e-05
1731869109.703836,183,8.268707460956648e-06
1731869110.1274726,184,7.566754902654793e-06
1731869110.551707,185,9.504268746240996e-06
1731869111.0008802,186,4.8174429139180575e-06
1731869111.7399328,187,1.1048753549403045e-05
1731869114.6205814,188,5.426505140349036e-06
1731869115.054261,189,4.581277607940137e-06
1731869115.468888,190,3.669284524221439e-06
1731869115.8844254,191,1.0872211532841902e-05
1731869117.308935,192,5.29487397216144e-06
1731869117.7070944,193,6.663410204055253e-06
1731869118.2099464,194,4.095254553249106e-06
1731869118.6231232,195,8.393928510486148e-06
1731869119.0575519,196,7.467266186722554e-06
1731869120.7464406,197,5.118145054439083e-06
1731869121.170079,198,5.7185675359505694e-06
1731869121.5852306,199,7.916020877019037e-06
1731869122.0023785,200,5.937556124990806e-06
1731869122.405836,201,6.2112812884151936e-06
1731869122.8203785,202,5.017980129196076e-06
1731869123.2746181,203,5.635425623040646e-06
1731869123.8907669,204,3.1541442240268225e-06
1731869124.3225303,205,4.744406396639533e-06
1731869124.8106253,206,5.373482963477727e-06
1731869125.2378316,207,4.213142346998211e-06
1731869125.6488957,208,1.6524379589100135e-06
1731869128.2855792,209,5.715237421100028e-06
1731869128.8289135,210,5.266255357128102e-06
1731869129.2613127,211,5.761985448771156e-06
1731869129.7274506,212,3.582485078368336e-06
1731869132.049065,213,5.053381755715236e-06
1731869132.484341,214,3.3648432236077497e-06
1731869132.9036837,215,1.8026382804237073e-06
1731869133.3262823,216,5.092598712508334e-06
1731869133.7367828,217,4.260617970430758e-06
1731869134.150046,218,4.004746188002173e-06
1731869134.5638158,219,2.4881248918973142e-06
1731869134.9987984,220,3.8143327856232645e-06
1731869136.2703056,221,3.0579599297198e-06
1731869136.684208,222,3.3917945074790623e-06
1731869137.1035583,223,2.020944066316588e-06
1731869137.6440058,224,4.022120265290141e-06
1731869138.0596197,225,2.8202491648698924e-06
1731869143.3613842,226,3.295857595730922e-06
1731869143.8422773,227,2.5023421130754286e-06
1731869144.425313,228,2.4135179046425037e-06
1731869144.885737,229,1.5416276255564298e-06
1731869145.4052002,230,1.1988822734565474e-06
1731869145.9238086,231,1.216522491631622e-06
1731869146.3852868,232,3.992794063378824e-06
1731869146.9347856,233,2.6089312541444087e-06
1731869147.3934844,234,2.8362067041598493e-06
1731869147.8901908,235,2.743044433373143e-06
1731869148.3469365,236,2.6215034267806914e-06
1731869148.8003356,237,2.5343470042571425e-06
1731869149.3282619,238,1.8319367427466204e-06
1731869149.79905,239,6.878081535433012e-07
1731869150.249878,240,1.9872732082149014e-06
1731869150.7888367,241,2.1165412817936158e-06
1731869151.2686167,242,1.5740409935460775e-06
1731869151.7579546,243,2.0566603780025616e-06
1731869152.2289083,244,1.7428886849302216e-06
1731869152.6975467,245,2.0646768916776637e-06
1731869153.1539316,246,1.142615246862988e-06
1731869153.700105,247,2.2535007246915484e-06
1731869154.1493087,248,1.2121367944928352e-06
1731869154.6061542,249,1.966378931683721e-06
1731869155.0584419,250,1.8887825490310206e-06
1731869155.516269,251,1.6300454035445e-06
1731869155.9726903,252,1.2986276942683617e-06
1731869156.5028274,253,1.228147425536008e-06
1731869156.9482465,254,1.4950999229768058e-06
1731869157.397985,255,1.4511858807964018e-06
1731869157.8400836,256,1.2261025403859094e-06
1731869158.2982988,257,1.0684268545446685e-06
1731869158.7463021,258,1.4072621752347914e-06
1731869159.1985261,259,9.882102176561602e-07
1731869159.6547666,260,1.6240672948697465e-06
1731869160.1474156,261,1.0761041266960092e-06
1731869160.612441,262,9.935201887856238e-07
1731869161.0761967,263,1.2300793059694115e-06
1731869161.5416834,264,1.1787241191996145e-06
1731869162.0028503,265,1.2991046105526038e-06
1731869162.542658,266,7.272221864695894e-07
1731869163.0286355,267,1.2254628245500498e-06
1731869163.4738903,268,1.1359601330696023e-06
1731869163.9433093,269,9.338087352261937e-07
1731869164.404685,270,8.398828299505112e-07
1731869164.9253325,271,7.036028932816407e-07
1731869165.4543571,272,4.174288221747702e-07
1731869165.8937852,273,9.534256832921528e-07
1731869166.3532414,274,1.0293905461367103e-06
1731869166.8229532,275,1.0935426644209656e-06
1731869167.278268,276,8.102691140265961e-07
1731869167.7402174,277,8.712535191079951e-07
1731869168.2008064,278,7.209515047179593e-07
1731869168.6582084,279,5.03895705605828e-07
1731869169.1142287,280,5.325221081875497e-07
1731869169.5687063,281,4.835044933315658e-07
1731869170.0270853,282,1.3121946267347084e-06
1731869170.4912806,283,5.692895115316787e-07
