Wall time,Step,Value
1731868965.8157425,1,-2.3280155658721924
1731868966.3873951,2,-2.167187452316284
1731868967.0711436,3,-2.3516147136688232
1731868967.5086877,4,-2.685199022293091
1731868967.9369125,5,-2.0111825466156006
1731868968.4804251,6,-2.312119245529175
1731868968.9672954,7,-2.2446749210357666
1731868969.4198823,8,-2.0604448318481445
1731868969.898481,9,-2.263578414916992
1731868970.36598,10,-2.2135603427886963
1731868970.7927577,11,-2.3401408195495605
1731868971.2993248,12,-2.5137295722961426
1731868971.7330441,13,-2.4986987113952637
1731868972.1606529,14,-1.9716222286224365
1731868972.589949,15,-3.1637425422668457
1731868973.0123827,16,-2.6317198276519775
1731868973.4340146,17,-2.281451940536499
1731868973.8817132,18,-2.6187052726745605
1731868974.3825648,19,-2.450965404510498
1731868974.8133442,20,-2.3001341819763184
1731868975.235003,21,-2.469357967376709
1731868975.6791334,22,-2.4587485790252686
1731868976.1036777,23,-2.222022771835327
1731868976.5266643,24,-2.858320474624634
1731868976.9432628,25,-2.6884353160858154
1731868977.3659327,26,-2.4856793880462646
1731868977.7931352,27,-2.5012500286102295
1731868978.2224135,28,-2.7131738662719727
1731868978.6452074,29,-2.2370755672454834
1731868979.0612712,30,-2.9214437007904053
1731868979.4873924,31,-2.829859495162964
1731868979.9132175,32,-2.6559042930603027
1731868980.3380215,33,-2.4531543254852295
1731868980.76359,34,-2.5322024822235107
1731868981.1833863,35,-2.594017267227173
1731868981.6091297,36,-2.6335666179656982
1731868982.0381563,37,-2.5482165813446045
1731868982.4857337,38,-2.4864139556884766
1731868982.9390485,39,-2.5121142864227295
1731868983.3952065,40,-2.65852689743042
1731868983.855379,41,-2.274449348449707
1731868984.3177814,42,-3.1881117820739746
1731868984.7763343,43,-2.7799131870269775
1731868985.2430809,44,-2.7348978519439697
1731868985.690594,45,-2.9421510696411133
1731868986.152741,46,-3.7005913257598877
1731868986.683889,47,-3.6632418632507324
1731868987.1362479,48,-3.6247823238372803
1731868987.5862384,49,-3.5711710453033447
1731868988.03253,50,-2.548224687576294
1731868988.49202,51,-3.8917360305786133
1731868988.9824438,52,-3.953899621963501
1731868989.4629924,53,-3.841187000274658
1731868989.9285293,54,-3.4159135818481445
1731868990.3933437,55,-2.858164072036743
1731868990.8140326,56,-3.2832109928131104
1731868991.2373943,57,-3.5764899253845215
1731868991.660101,58,-3.1521410942077637
1731868992.0738256,59,-4.825438976287842
1731868992.57773,60,-3.529308557510376
1731868992.9888666,61,-4.047096252441406
1731868993.466676,62,-4.316406726837158
1731868993.8863297,63,-3.0815951824188232
1731868994.310837,64,-4.368733882904053
1731868994.7270439,65,-2.7446517944335938
1731868995.1418457,66,-3.8120293617248535
1731868995.5608852,67,-4.520563125610352
1731868995.9761214,68,-5.059302806854248
1731868996.400179,69,-3.469728946685791
1731868996.8099692,70,-4.48538875579834
1731868997.2272575,71,-5.391007900238037
1731868997.7161567,72,-5.898653984069824
1731868998.655232,73,-6.317066669464111
1731869001.2677968,74,-6.728466987609863
