time_completed,M,Z,batch_size,test_set_size,detector_type,activation,gen_hidden_dim,discim_hidden_dim,avg_validation_loss,avg_test_loss,avg_num_bits_changed,auc,orig_mal_detect_rate,mod_mal_detect_rate,ben_mal_detect_rate
2024-11-08 12:42:42.998895,128,10,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-1.520496129989624,-1.506940007209778,24.619,0.91933067,0.99633700,0.58974359,0.11363636
2024-11-08 13:52:28.606364,128,128,32,361,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-1.604469537734985,-1.583865046501160,24.524,0.90713453,0.99633700,0.57509158,0.11363636
2024-11-10 21:07:36.968732,7446,256,32,40,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.603894293308258,-0.603805422782898,3664.650,0.98000000,0.50000000,1.00000000,0.25000000
2024-11-10 21:09:18.094948,7446,7000,32,40,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.657481372356415,-0.657466709613800,3711.150,0.95500000,0.50000000,1.00000000,0.15000000
2024-11-10 21:12:47.964274,7446,128,32,40,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-12.110053062438965,-12.626445770263672,829.850,0.61000000,0.50000000,0.20000000,0.25000000
2024-11-12 08:04:53.729188,40430,128,32,400,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-16.118095397949219,-16.118095397949219,26695.480,0.83476250,0.79000002,0.00000000,0.06000000
2024-11-12 08:35:56.535076,40430,128,32,400,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-10.268695831298828,-10.268805503845215,26924.400,0.52475000,0.79500002,0.00000000,0.04500000
2024-11-12 08:40:30.809327,40430,128,32,400,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-2.635628938674927,-2.634667396545410,27240.074,0.56170000,0.77499998,0.00000000,0.04500000
2024-11-12 08:41:27.084710,40430,128,32,400,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",598824.875000000000000,598676.687500000000000,20953.705,0.74052500,0.79500002,0.00000000,0.04500000
2024-11-12 08:42:21.675492,40430,128,32,400,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-2.654290437698364,-2.654558658599854,26791.480,0.70490000,0.79000002,0.00000000,0.05000000
2024-11-12 08:55:20.012928,40430,128,32,400,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-16.118095397949219,-16.118095397949219,26977.016,0.68981250,0.77999997,0.00000000,0.05500000
2024-11-12 08:57:29.814474,40430,128,32,400,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-2.658188581466675,-2.658437013626099,26687.775,0.64876250,0.79500002,0.00000000,0.05500000
2024-11-12 08:58:47.563489,40430,128,32,400,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",600823.937500000000000,600689.687500000000000,21023.859,0.70595000,0.79000002,0.00000000,0.05000000
2024-11-12 09:11:32.731435,40430,128,32,400,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",21017.240234375000000,21015.248046875000000,21017.359,0.85290000,0.80000001,0.00000000,0.05000000
